result_id,det_index,matched,matched_track_id,e,n,lat,lon,utc,range,direction
1,0,0,-1,646307.894813,4355367.897122,39.319686493425,118.696564378963,40206.082031250000,18654.449807480953,-26.723059629867
1,1,0,-1,642748.491713,4354313.485957,39.310787251940,118.655082641649,40206.082031250000,22366.698265095114,-26.671444009142
1,2,0,-1,643843.288864,4348654.741966,39.259657684759,118.666562924681,40205.699218750000,23670.596120162016,-40.661588268957
1,3,0,-1,643950.675619,4348365.348590,39.257034314567,118.667744857810,40205.699218750000,23728.256407636261,-41.394715765577
1,4,0,-1,646611.416538,4351830.742036,39.287789051101,118.699312052880,40205.441406250000,19721.851897554869,-36.815012392616
1,5,0,-1,647458.005625,4352265.848499,39.291562838440,118.709215698640,40205.441406250000,18770.009816069367,-36.800562224375
1,6,0,-1,646465.246243,4345511.357942,39.230917875570,118.696246453117,40204.929687500000,23402.336118937827,-50.530251439412
1,7,0,-1,653852.805366,4348773.593391,39.259010685126,118.782509131339,40204.546875000000,15855.516419548354,-58.948580735729
1,8,0,-1,648228.763032,4343975.155447,39.216787735511,118.716324647969,40204.546875000000,23191.724677865455,-56.218113000707
1,9,0,-1,648432.542982,4344044.391929,39.217376313231,118.718698404881,40204.546875000000,23001.160100085421,-56.466248033606
1,10,0,-1,648294.961624,4344029.819946,39.217268605688,118.717102824493,40204.546875000000,23106.473520165764,-56.243271728200
1,11,0,-1,650027.006686,4344605.847886,39.222157438514,118.737277411310,40204.546875000000,21511.323413102302,-58.523670571452
1,12,0,-1,651815.497315,4346576.550487,39.239589296741,118.758421533657,40204.546875000000,18850.394023012112,-58.645841527439
1,13,0,-1,651765.035467,4346447.157974,39.238433179895,118.757808229303,40204.546875000000,18981.013447463625,-58.788757054167
1,14,0,-1,651937.001151,4346557.283864,39.239394584972,118.759823911019,40204.546875000000,18785.080621509198,-58.963271944018
1,15,0,-1,649981.642455,4344478.736288,39.221020851518,118.736724121431,40204.546875000000,21636.761607442444,-58.655929578799
1,16,0,-1,651660.841101,4346398.129889,39.238009977259,118.756590924513,40204.546875000000,19086.506683167674,-58.649773376635
1,17,0,-1,651594.153378,4346373.133300,39.237796573831,118.755813250904,40204.546875000000,19149.297323671617,-58.549031145918
1,18,0,-1,651534.454774,4346042.039791,39.234826108746,118.755047814882,40204.546875000000,19438.106561129127,-59.061442163701
1,19,0,-1,652589.019812,4347011.037159,39.243365431015,118.767475169925,40204.546875000000,18016.197417507563,-59.584905713093
1,20,0,-1,651621.182763,4346206.124353,39.236288249126,118.756088680466,40204.546875000000,19257.292145742733,-58.937588875234
1,21,0,-1,651598.013222,4345924.616218,39.233757834316,118.755757259745,40204.546875000000,19485.818577933322,-59.428596733553
1,22,0,-1,649899.817584,4344490.536893,39.221141215746,118.735779647812,40204.546875000000,21681.917874372131,-58.472748800157
1,23,0,-1,652409.433372,4346810.765856,39.241593914337,118.765350691016,40204.546875000000,18285.097341395249,-59.561606774341
1,24,0,-1,651537.263839,4345844.415635,39.233046377795,118.755035996389,40204.546875000000,19586.261039416895,-59.445593162411
1,25,0,-1,653004.888585,4349076.165258,39.261884674427,118.772758371617,40204.417968750000,16207.930263804616,-55.958602197936
1,26,0,-1,652921.149212,4348954.192449,39.260801312559,118.771760924327,40204.417968750000,16353.896967160244,-56.043716029106
1,27,0,-1,652877.235643,4348926.585021,39.260560500285,118.771246107415,40204.417968750000,16404.225926352752,-55.999838177952
1,28,0,-1,652943.306434,4349051.646773,39.261674791400,118.772039622834,40204.417968750000,16268.332592783594,-55.862271857761
1,29,0,-1,654257.805236,4350510.658377,39.274577484559,118.787596615432,40204.417968750000,14305.867335838631,-55.587857298534
1,30,0,-1,652103.603226,4346723.299851,39.240860078116,118.761790139467,40204.417968750000,18553.951266630429,-58.995243675966
1,31,0,-1,653880.216934,4350437.449771,39.273985470256,118.783206254794,40204.417968750000,14623.583483334141,-54.729162053011
1,32,0,-1,652091.600601,4346647.347978,39.240178377376,118.761634068303,40204.417968750000,18619.273611675271,-59.120300898226
