result_id,det_index,matched,matched_track_id,e,n,lat,lon,utc,range,direction
1,0,0,-1,650565.307375,4357121.975048,39.334746774037,118.746212443551,40205.582031250000,14097.755514606130,-24.859128328648
1,1,0,-1,649314.602815,4353267.657455,39.300258231874,118.731166160729,40205.968750000000,16594.386594827709,-36.754905952260
1,2,0,-1,649592.021739,4353462.101212,39.301960094881,118.734382383415,40205.968750000000,16259.541719088122,-36.587638034581
1,3,0,-1,649938.934702,4353228.450195,39.299797645920,118.738404275291,40205.968750000000,16057.889000589934,-37.887409373256
1,4,0,-1,649861.690288,4355020.511287,39.315958387495,118.737508752026,40206.093750000000,15408.707602899005,-31.792946836296
1,5,0,-1,649859.976798,4354981.792898,39.315610286773,118.737488886900,40206.093750000000,15424.767773343712,-31.925322732600
1,6,0,-1,649739.287839,4354926.453224,39.315133188456,118.736089694663,40206.093750000000,15557.428461992389,-31.946359715243
1,7,0,-1,649762.510322,4354984.615299,39.315652531599,118.736358921613,40206.093750000000,15514.141187704034,-31.780900090147
1,8,0,-1,651159.202183,4352418.585001,39.292297596671,118.752003337532,40206.351562500000,15439.431962704854,-42.644250224481
1,9,0,-1,652081.957701,4352408.296572,39.292043708617,118.762697816501,40206.351562500000,14677.319780198670,-44.627631291521
1,10,0,-1,651077.753275,4352497.073238,39.293029002137,118.751059366828,40206.351562500000,15465.266923347206,-42.234035893120
1,11,0,-1,650758.365441,4352273.387955,39.291060845850,118.747357747734,40206.351562500000,15855.501609952476,-42.303912143423
1,12,0,-1,650799.444255,4352242.631462,39.290776950559,118.747833840222,40206.351562500000,15837.354512566153,-42.478129778583
1,13,0,-1,652054.214993,4352478.152319,39.292688109858,118.762376286433,40206.351562500000,14659.848273038497,-44.338335214131
1,14,0,-1,652130.044582,4352486.234468,39.292747537600,118.763255129697,40206.351562500000,14592.754209244500,-44.480864186636
1,15,0,-1,652083.028066,4352506.575099,39.292938812786,118.762710221728,40206.351562500000,14620.011840541258,-44.309771363022
1,16,0,-1,652105.209215,4352593.143769,39.293713888003,118.762967294908,40206.351562500000,14552.914476638867,-44.078159648266
1,17,0,-1,650232.383234,4351756.036665,39.286496812036,118.741261752229,40206.351562500000,16576.950296516530,-42.836868389265
1,18,0,-1,650790.266612,4352244.158791,39.290792289454,118.747727473784,40206.480468750000,15839.448750214922,-42.474070938669
1,19,0,-1,650688.582088,4352350.221593,39.291764339557,118.746548977238,40206.480468750000,15868.763073623606,-41.951817599257
1,20,0,-1,651407.881039,4352374.566601,39.291858133130,118.754885457286,40206.480468750000,15250.187130919199,-43.308402451448
1,21,0,-1,650473.981498,4351965.790157,39.288342340980,118.744061813083,40206.480468750000,16255.357022508158,-42.697110766015
1,22,0,-1,650637.349292,4351201.384941,39.281424666838,118.745955202733,40206.609375000000,16505.803416466937,-45.339770720049
1,23,0,-1,651932.902129,4351178.293213,39.280990902995,118.760970304850,40206.609375000000,15482.024983743398,-48.191033189070
